Timestamp,Nama Tempat Makan,Lokasi Tempat Makan,Nama Menu,Kategori Tempat,Harga,Kategori Harga,Tujuan Makan,Lauk/Bahan Utama,Rasa,Waktu Makan,Waktu Makan
6/2/2026 20:30:29,Kedai Tinari,Banyumanik,Dimsum Kulit Tahu,Fast Food,12000,Hemat,Cemilan,"Telur, Tahu","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:31:33,Batterhub Tembalang,Tirto Agung,Paket OG Chicken,Fast Food,25000,Sedang,Kenyang,"Ayam, Telur, Sayur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:32:37,Batterhub Tembalang,Tirto Agung,Paket Nashville Hot,Fast Food,27000,Mahal,Kenyang,"Ayam, Telur, Sayur, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:33:41,Batterhub Tembalang,Tirto Agung,Paket Mentai Burn,Fast Food,27000,Mahal,Kenyang,"Ayam, Telur, Sayur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:34:45,Batterhub Tembalang,Tirto Agung,Paket Chessy Lovers,Fast Food,27000,Mahal,Kenyang,"Ayam, Telur, Sayur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:35:49,Batterhub Tembalang,Tirto Agung,Paket Velve Beef,Fast Food,27000,Mahal,Kenyang,"Ayam, Telur, Sayur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:36:53,Batterhub Tembalang,Tirto Agung,paket Caramalized Honey,Fast Food,28000,Mahal,Kenyang,"Ayam, Telur, Sayur, Nasi","Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:37:57,Batterhub Tembalang,Tirto Agung,French Fries,Fast Food,12000,Hemat,Cemilan,Kentang,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:39:01,Batterhub Tembalang,Tirto Agung,Nugget,Fast Food,12000,Hemat,Cemilan,Ayam,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:40:05,Batterhub Tembalang,Tirto Agung,Cireng Bumbu Rujak,Fast Food,12000,Hemat,Cemilan,Gorengan,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:41:09,Batterhub Tembalang,Tirto Agung,Sosis Crispy,Fast Food,12000,Hemat,Cemilan,Sosis,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:42:13,Batterhub Tembalang,Tirto Agung,Platter Mix,Fast Food,15000,Hemat,Cemilan,"Kentang, Ayam, Sosis","Tidak Pedas, Asin/Gurih",Makan Malam,
